,School,Type,Grades,Total students enrolled,Students per teacher,District,Score,Rating,Address,Length
9189,Willard Avenue K-8 School,Public district,PK-8,864.0,13:1,Warren City School District,4,Below average,"2020 Willard Avenue Southeast, Warren, OH, 44484",2
9190,Steam Academy of Warren,Public charter,K-8,149.0,15:1,Steam Academy of Warren,3,Below average,"261 Elm Road Northeast, Warren, OH, 44483",2
9191,Warren G Harding High School,Public district,9-12,1358.0,13:1,Warren City School District,3,Below average,"860 Elm Road Northeast, Warren, OH, 44483",2
9192,Jefferson K-8 School,Public district,PK-8,742.0,13:1,Warren City School District,3,Below average,"1543 Tod Avenue Southwest, Warren, OH, 44485",2
9193,Summit Academy Warren Middle & Secondary,Public charter,8-12,90.0,10:1,Summit Academy Warren Middle & Secondary,3,Below average,"1461 Moncrest Drive Northwest, Warren, OH, 44485",2
9194,Life Skills Of Trumbull County,Public charter,9-12,149.0,22:1,River Gate High School School District,2,Below average,"458 Franklin Street Southeast, Warren, OH, 44483",2
9195,Mcguffey K-8 School,Public district,PK-8,794.0,14:1,Warren City School District,2,Below average,"3465 Tod Avenue Northwest, Warren, OH, 44485",2
9202,Beaty-Warren Middle School,Public district,6-8,672.0,16:1,Warren County School District,7,Above average,"2 East 3rd Avenue, Warren, PA, 16365",2
9203,Warren Area High School,Public district,8-12,743.0,16:1,Warren County School District,5,Average,"345 East 5th Avenue, Warren, PA, 16365",2
9204,Warren Area El Center,Public district,K-5,751.0,15:1,Warren County School District,3,Below average,"349 East 5th Avenue, Warren, PA, 16365",2
9217,School Without Walls High School,Public district,9-12,592.0,8:1,District Of Columbia Public Schools,10,Top rated,"2130 G Street Northwest, Washington, DC, 20037",2
9218,Benjamin Banneker High School,Public district,9-12,482.0,15:1,District Of Columbia Public Schools,10,Top rated,"800 Euclid Street Northwest, Washington, DC, 20001",2
9219,School-Within-School @ Goding,Public district,PK-5,308.0,11:1,District Of Columbia Public Schools,10,Top rated,"920 F Street Northeast, Washington, DC, 20002",2
9220,Janney Elementary School,Public district,PK-5,737.0,14:1,District Of Columbia Public Schools,10,Top rated,"4130 Albemarle Street Northwest, Washington, DC, 20016",2
9221,Mann Elementary School,Public district,PK-5,400.0,13:1,District Of Columbia Public Schools,10,Top rated,"4430 Newark Street Northwest, Washington, DC, 20016",2
9222,Lafayette Elementary School,Public district,PK-5,816.0,13:1,District Of Columbia Public Schools,10,Top rated,"5701 Broad Branch Road Northwest, Washington, DC, 20015",2
9224,Bancroft Elementary School,Public district,PK-5,544.0,11:1,District Of Columbia Public Schools,10,Top rated,"4300 13th Street Northwest, Washington, DC, 20011",2
9225,Murch Elementary School,Public district,PK-5,573.0,14:1,District Of Columbia Public Schools,9,Above average,"3373 Van Ness Street Northwest, Washington, DC, 20008",2
9226,Deal Middle School,Public district,6-8,1475.0,14:1,District Of Columbia Public Schools,9,Above average,"3815 Fort Drive Northwest, Washington, DC, 20016",2
9227,Garrison Elementary School,Public district,PK-5,250.0,9:1,District Of Columbia Public Schools,9,Above average,"1200 S Street Northwest, Washington, DC, 20009",2
9228,Key Elementary School,Public district,PK-5,417.0,14:1,District Of Columbia Public Schools,9,Above average,"5001 Dana Place Northwest, Washington, DC, 20016",2
9229,Maury Elementary School,Public district,PK-5,407.0,14:1,District Of Columbia Public Schools,9,Above average,"1250 Constitution Avenue Northeast, Washington, DC, 20002",2
9230,McKinley Technology High School,Public district,9-12,620.0,10:1,District Of Columbia Public Schools,9,Above average,"151 T Street Northeast, Washington, DC, 20002",2
9231,Stoddert Elementary School,Public district,PK-5,438.0,14:1,District Of Columbia Public Schools,9,Above average,"4001 Calvert Street Northwest, Washington, DC, 20007",2
9232,DC Prep - Edgewood Middle Campus,Public charter,4-8,332.0,8:1,D.C. Preparatory Academy Pcs,9,Above average,"701 Edgewood Street NE, Washington, DC, 20017",2
9234,Wilson High School,Public district,9-12,1829.0,15:1,District Of Columbia Public Schools,8,Above average,"3950 Chesapeake Street Northwest, Washington, DC, 20016",2
9235,Friendship PCS Woodridge Middle,Public charter,4-8,218.0,10:1,Friendship Pcs,8,Above average,"2959 Carlton Avenue Northeast, Washington, DC, 20018",2
9237,Payne Elementary School,Public district,PK-5,315.0,12:1,District Of Columbia Public Schools,8,Above average,"1445 C Street Southeast, Washington, DC, 20003",2
9238,Oyster-Adams Bilingual School,Public district,PK-8,677.0,11:1,District Of Columbia Public Schools,8,Above average,"2801 Calvert Street Northwest, Washington, DC, 20008",2
9239,Duke Ellington School of the Arts,Public district,9-12,566.0,106:1,District Of Columbia Public Schools,8,Above average,"2501 11th Street Northwest, Washington, DC, 20001",2
9240,Hardy Middle School,Public district,6-8,392.0,11:1,District Of Columbia Public Schools,8,Above average,"1819 35th Street Northwest, Washington, DC, 20007",2
9241,Seaton Elementary School,Public district,PK-5,371.0,9:1,District Of Columbia Public Schools,8,Above average,"1503 10th Street Northwest, Washington, DC, 20001",2
9242,Beaufort County Early College High SchoolNorth Carolina,Public district,9-12,246.0,21:1,Beaufort County School District,9,Above average,"5337 U.S. 264, Washington, NC, 27889",2
9243,John C Tayloe Elementary,Public district,2-3,515.0,13:1,Beaufort County School District,7,Above average,"910 Tarboro Street, Washington, NC, 27889",2
9244,Washington Montessori,Public charter,K-8,408.0,14:1,Washington Montessori School District,5,Average,"2330 Old Bath Highway, Washington, NC, 27889",2
9245,P S Jones Middle,Public district,6-8,765.0,13:1,Beaufort County School District,4,Below average,"4105 Market Street Extension North, Washington, NC, 27889",2
9246,John Small Elementary,Public district,4-5,535.0,14:1,Beaufort County School District,3,Below average,"4103 North Market Street, Washington, NC, 27889",2
9247,Washington High,Public district,9-12,1004.0,14:1,Beaufort County School District,3,Below average,"400 Slatestone Road, Washington, NC, 27889",2
9267,Kingsley Elementary School,Public district,K-5,382.0,14:1,Waterloo Community School District,6,Average,"201 Sunset Road, Waterloo, IA, 50701",2
9268,Orange Elementary School,Public district,PK-5,536.0,16:1,Waterloo Community School District,6,Average,"5805 Kimball Avenue, Waterloo, IA, 50701",2
9269,Highland Elementary School,Public district,PK-5,589.0,14:1,Waterloo Community School District,5,Average,"812 Idaho Street, Waterloo, IA, 50707",2
9270,Edison Elementary School,Public district,PK-5,501.0,14:1,Waterloo Community School District,4,Below average,"1239 Sheldon Street, Waterloo, IA, 50701",2
9271,Hoover Middle School,Public district,6-8,916.0,16:1,Waterloo Community School District,4,Below average,"630 Hillcrest, Waterloo, IA, 50701",2
9272,Lou Henry Elementary School,Public district,K-5,481.0,14:1,Waterloo Community School District,4,Below average,"312 Rachael Street, Waterloo, IA, 50701",2
9273,Irving Elementary School,Public district,PK-5,496.0,13:1,Waterloo Community School District,3,Below average,"1115 West 5th Street, Waterloo, IA, 50702",2
9274,George Washington Carver Academy,Public district,6-8,488.0,11:1,Waterloo Community School District,3,Below average,"1505 Logan Avenue, Waterloo, IA, 50703",2
9275,Kittrell Elementary School,Public district,PK-5,677.0,15:1,Waterloo Community School District,3,Below average,"1304 Oregon Street, Waterloo, IA, 50702",2
9276,Lincoln Elementary School,Public district,PK-5,562.0,14:1,Waterloo Community School District,3,Below average,"302 Cedar Bend Street, Waterloo, IA, 50703",2
9277,East High School,Public district,9-12,908.0,14:1,Waterloo Community School District,2,Below average,"214 High Street, Waterloo, IA, 50703",2
9278,Cunningham School,Public district,PK-5,403.0,14:1,Waterloo Community School District,2,Below average,"1224 Mobile Street, Waterloo, IA, 50703",2
9279,Lowell Elementary School,Public district,K-5,308.0,12:1,Waterloo Community School District,2,Below average,"1628 Washington Street, Waterloo, IA, 50702",2
9280,West High School,Public district,9-12,1725.0,16:1,Waterloo Community School District,2,Below average,"425 East Ridgeway Avenue, Waterloo, IA, 50702",2
9281,Central Middle School,Public district,6-8,469.0,11:1,Waterloo Community School District,2,Below average,"1350 Katoski Drive, Waterloo, IA, 50701",2
9292,North Elementary School,Public district,K-4,501.0,16:1,Watertown City School District,7,Above average,"171 East Hoard Street, Watertown, NY, 13601",2
9293,Harold T Wiley School,Public district,5-6,598.0,12:1,Watertown City School District,6,Average,"1351 Washington Street, Watertown, NY, 13601",2
9294,Brownville School,Public district,PK-6,531.0,16:1,General Brown Central School District,6,Average,"275 East Main Street, Watertown, NY, 13601",2
9295,Ohio Street School,Public district,K-4,340.0,16:1,Watertown City School District,5,Average,"1537 Ohio Street, Watertown, NY, 13601",2
9296,Knickerbocker School,Public district,K-4,367.0,14:1,Watertown City School District,4,Below average,"739 Knickerbocker Drive, Watertown, NY, 13601",2
9297,Watertown Senior High School,Public district,9-12,1035.0,16:1,Watertown City School District,4,Below average,"1335 Washington Street, Watertown, NY, 13601",2
9298,Case Middle School,Public district,7-8,523.0,14:1,Watertown City School District,3,Below average,"1237 Washington Street, Watertown, NY, 13601",2
9299,Sherman School,Public district,K-4,331.0,17:1,Watertown City School District,3,Below average,"836 Sherman Street, Watertown, NY, 13601",2
9300,Starbuck Elementary School,Public district,K-4,217.0,21:1,Watertown City School District,1,Below average,"430 East Hoard Street, Watertown, NY, 13601",2
9317,Academic/Vocational Charter Institute,Public charter,9-12,75.0,13:1,Pajaro Valley Unified School District,6,Average,"112 Diamond Drive, Watsonville, CA, 95076",2
9318,Ceiba College Preparatory Academy,Public charter,6-12,517.0,22:1,Pajaro Valley Unified School District,6,Average,"260 West Riverside Drive, Watsonville, CA, 95076",2
9319,Alianza Charter School,Public charter,K-8,670.0,24:1,Pajaro Valley Unified School District,4,Below average,"115 Casserly Road, Watsonville, CA, 95076",2
9320,Bradley Elementary School,Public district,K-6,529.0,24:1,Pajaro Valley Unified School District,4,Below average,"321 Corralitos Road, Watsonville, CA, 95076",2
9321,Linscott Charter School,Public charter,K-8,278.0,31:1,Pajaro Valley Unified School District,4,Below average,"220 Elm Street, Watsonville, CA, 95076",2
9322,Ohlone Elementary School,Public district,K-5,492.0,22:1,Pajaro Valley Unified School District,4,Below average,"21 Bay Farms Road, Watsonville, CA, 95076",2
9323,Watsonville High School,Public district,9-12,2170.0,22:1,Pajaro Valley Unified School District,4,Below average,"250 East Beach Street, Watsonville, CA, 95076",2
9324,Hall District Elementary School,Public district,K-5,556.0,22:1,Pajaro Valley Unified School District,3,Below average,"300 Sill Road, Watsonville, CA, 95076",2
9325,Pajaro Valley High School,Public district,9-12,1436.0,20:1,Pajaro Valley Unified School District,3,Below average,"500 Harkins Slough Road, Watsonville, CA, 95076",2
9326,Ann Soldo Elementary School,Public district,K-5,517.0,21:1,Pajaro Valley Unified School District,3,Below average,"1140 Menasco Drive, Watsonville, CA, 95076",2
9327,Pacific Coast Charter School,Public charter,K-12,217.0,18:1,Pajaro Valley Unified School District,3,Below average,"294 Green Valley Road, Watsonville, CA, 95076",2
9328,Watsonville Charter School Of The Arts,Public charter,K-8,381.0,23:1,Pajaro Valley Unified School District,3,Below average,"115 Casserly Road, West Campus, Watsonville, CA, 95076",2
9329,Calabasas Elementary School,Public district,K-6,606.0,22:1,Pajaro Valley Unified School District,3,Below average,"202 Calabasas Road, Watsonville, CA, 95076",2
9330,H. A. Hyde Elementary School,Public district,K-5,529.0,22:1,Pajaro Valley Unified School District,3,Below average,"125 Alta Vista Street, Watsonville, CA, 95076",2
9331,Lakeview Middle School,Public district,6-8,689.0,25:1,Pajaro Valley Unified School District,3,Below average,"2350 East Lake Avenue, Watsonville, CA, 95076",2
9332,Mintie White Elementary School,Public district,K-5,624.0,23:1,Pajaro Valley Unified School District,3,Below average,"515 Palm Avenue, Watsonville, CA, 95076",2
9333,Rolling Hills Middle School,Public district,6-8,652.0,24:1,Pajaro Valley Unified School District,3,Below average,"130 Herman Avenue, Watsonville, CA, 95076",2
9334,Radcliff Elementary School,Public district,K-5,530.0,23:1,Pajaro Valley Unified School District,2,Below average,"550 Rodriguez Street, Watsonville, CA, 95076",2
9335,Landmark Elementary School,Public district,K-5,545.0,22:1,Pajaro Valley Unified School District,2,Below average,"235 Ohlone Parkway, Watsonville, CA, 95076",2
9336,Cesar E. Chavez Middle School,Public district,6-8,641.0,25:1,Pajaro Valley Unified School District,2,Below average,"440 Arthur Road, Watsonville, CA, 95076",2
9337,Amesti Elementary School,Public district,K-5,577.0,23:1,Pajaro Valley Unified School District,2,Below average,"25 Amesti Road, Watsonville, CA, 95076",2
9338,E. A. Hall Middle School,Public district,6-8,647.0,21:1,Pajaro Valley Unified School District,2,Below average,"201 Brewington Avenue, Watsonville, CA, 95076",2
9339,T. S. Macquiddy Elementary School,Public district,K-5,604.0,22:1,Pajaro Valley Unified School District,2,Below average,"330 Martinelli Street, Watsonville, CA, 95076",2
9340,Pajaro Middle School,Public district,6-8,502.0,23:1,Pajaro Valley Unified School District,2,Below average,"250 Salinas Road, Watsonville, CA, 95076",2
9341,Starlight Elementary School,Public district,K-5,632.0,22:1,Pajaro Valley Unified School District,2,Below average,"225 Hammer Drive, Watsonville, CA, 95076",2
9342,Waukesha Engineering Preparatory Academy,Public charter,9-12,185.0,55:1,Waukesha School District,10,Top rated,"401 East Roberta Avenue, Waukesha, WI, 53186",2
9343,Meadowbrook Elementary School,Public district,PK-5,303.0,14:1,Waukesha School District,9,Above average,"3130 Rolling Ridge Drive, Waukesha, WI, 53188",2
9344,Rose Glen Elementary SchoolW273s,Public district,PK-5,534.0,18:1,Waukesha School District,9,Above average,"3845 Brookhill Drive, Waukesha, WI, 53189",2
9345,Lowell Elementary School,Public district,PK-5,269.0,10:1,Waukesha School District,8,Above average,"140 North Grandview Boulevard, Waukesha, WI, 53188",2
9346,West High School,Public district,9-12,1172.0,19:1,Waukesha School District,7,Above average,"3301 Saylesville Road, Waukesha, WI, 53189",2
9347,Banting Elementary School,Public district,PK-5,473.0,12:1,Waukesha School District,7,Above average,"2019 Butler Drive, Waukesha, WI, 53186",2
9348,Waukesha Academy Of Health Professions,Public charter,9-12,145.0,73:1,Waukesha School District,6,Average,"401 East Roberta Avenue, Waukesha, WI, 53186",2
9349,Butler Middle School,Public district,6-8,883.0,14:1,Waukesha School District,6,Average,"310 North Hine Avenue, Waukesha, WI, 53188",2
9350,Hillcrest Elementary School,Public district,PK-5,331.0,15:1,Waukesha School District,6,Average,"2200 Davidson Road, Waukesha, WI, 53186",2
9351,Waukesha Stem Academy,Public charter,PK-8,784.0,18:1,Waukesha School District,6,Average,"114 South Charles Street, Waukesha, WI, 53186",2
9353,Bethesda Elementary School,Public district,PK-5,519.0,15:1,Waukesha School District,5,Average,"730 South University Drive, Waukesha, WI, 53188",2
9354,Blair Elementary School,Public district,PK-5,312.0,11:1,Waukesha School District,5,Average,"301 Hyde Park Avenue, Waukesha, WI, 53188",2
9355,Prairie Elementary School,Public district,PK-5,300.0,15:1,Waukesha School District,5,Average,"1801 Center Road, Waukesha, WI, 53189",2
9356,eAchieve Academy Wisconsin,Public charter,6-12,632.0,33:1,Waukesha School District,4,Below average,"222 Maple Avenue, Waukesha, WI, 53186",2
9357,Summit View Elementary School,Public district,PK-5,592.0,15:1,Waukesha School District,4,Below average,"2100 Summit Avenue, Waukesha, WI, 53188",2
9358,Central Middle School,Public district,6-8,707.0,14:1,Waukesha School District,4,Below average,"400 North Grand Avenue, Waukesha, WI, 53186",2
9359,Hawthorne Elementary School,Public district,PK-5,239.0,12:1,Waukesha School District,4,Below average,"1111 Maitland Drive, Waukesha, WI, 53188",2
9360,Heyer Elementary School,Public district,PK-5,406.0,13:1,Waukesha School District,4,Below average,"1209 Heyer Drive, Waukesha, WI, 53186",2
9361,Horning Middle School,Public district,6-8,737.0,13:1,Waukesha School District,4,Below average,"2000 Wolf Road, Waukesha, WI, 53186",2
9362,Hadfield Elementary School,Public district,PK-5,311.0,12:1,Waukesha School District,3,Below average,"733 Linden Street, Waukesha, WI, 53186",2
9363,Whittier Elementary School,Public district,PK-5,209.0,10:1,Waukesha School District,3,Below average,"1103 South East Avenue, Waukesha, WI, 53189",2
9364,North High School,Public district,9-12,1175.0,17:1,Waukesha School District,2,Below average,"2222 Michigan Avenue, Waukesha, WI, 53188",2
9365,South High School,Public district,9-12,946.0,14:1,Waukesha School District,2,Below average,"401 East Roberta Avenue, Waukesha, WI, 53186",2
9366,Harvey Philip Alternative Charter School,Public charter,9-12,114.0,8:1,Waukesha School District,1,Below average,"1150 Whiterock Avenue, Waukesha, WI, 53186",2
9367,Thomas Jefferson Elementary School,Public district,PK-5,415.0,10:1,Wausau School District,8,Above average,"500 West Randolph Street, Wausau, WI, 54401",2
9368,Wausau Engineering And Global Leadership Academy,Public charter,9-12,58.0,13:1,Wausau School District,7,Above average,"2607 North 18th Street, Wausau, WI, 54403",2
9369,John Marshall Elementary School,Public district,K-5,291.0,14:1,Wausau School District,7,Above average,"1918 Lamont Street, Wausau, WI, 54403",2
9370,Maine Elementary School,Public district,K-5,230.0,16:1,Wausau School District,7,Above average,"5901 N 44th Ave, Wausau, WI, 54401",2
9371,Wausau Area Montessori Charter School,Public charter,K-6,127.0,19:1,Wausau School District,6,Average,"3101 North 13th Street, Wausau, WI, 54403",2
9372,Horace Mann Middle School,Public district,6-10,755.0,12:1,Wausau School District,6,Average,"3101 N 13th St, Wausau, WI, 54403",2
9374,Stettin Elementary School,Public district,K-5,273.0,15:1,Wausau School District,6,Average,"109 North 56th Avenue, Wausau, WI, 54401",2
9375,G D Jones Elementary School,Public district,PK-5,635.0,12:1,Wausau School District,5,Average,"1018 South 12th Avenue, Wausau, WI, 54401",2
9376,John Muir Middle School,Public district,6-9,1032.0,13:1,Wausau School District,5,Average,"1400 Stewart Avenue, Wausau, WI, 54401",2
9377,East High School,Public district,9-12,962.0,15:1,Wausau School District,5,Average,"2607 North 18th Street, Wausau, WI, 54403",2
9378,Enrich Excel Achieve Learning Academy,Public charter,6-12,71.0,12:1,Wausau School District,4,Below average,"2607 North 18th Street, Wausau, WI, 54403",2
9379,South Mountain Elementary School,Public district,K-5,244.0,12:1,Wausau School District,4,Below average,"5400 Bittersweet Road, Wausau, WI, 54401",2
9380,Franklin Elementary School,Public district,K-5,301.0,11:1,Wausau School District,4,Below average,"1509 N 5th St, Wausau, WI, 54401",2
9381,Grant Elementary School,Public district,K-5,244.0,10:1,Wausau School District,4,Below average,"500 North 4th Avenue, Wausau, WI, 54401",2
9382,Lincoln Elementary School,Public district,K-5,219.0,10:1,Wausau School District,3,Below average,"720 South 6th Avenue, Wausau, WI, 54401",2
9383,Rib Mountain Elementary School,Public district,K-5,233.0,15:1,Wausau School District,3,Below average,"2701 Robin Lane, Wausau, WI, 54401",2
9384,Riverview Elementary School,Public district,PK-5,498.0,15:1,Wausau School District,3,Below average,"4303 Troy Street, Wausau, WI, 54403",2
9385,West High School,Public district,9-12,1347.0,15:1,Wausau School District,3,Below average,"1200 West Wausau Avenue, Wausau, WI, 54401",2
9386,Wausau Area Virtual Education,Public district,6-12,30.0,,Wausau School District,2,Below average,"415 Seymour Street, Wausau, WI, 54403",2
9387,Hawthorn Hills Elementary School,Public district,PK-5,298.0,10:1,Wausau School District,1,Below average,"1600 Kickbusch Street, Wausau, WI, 54403",2
9392,Foothills Middle School,Public district,6-8,604.0,21:1,Wenatchee School District,7,Above average,"1410 Maple Street, Wenatchee, WA, 98801",2
9393,Mission View Elementary School,Public district,K-5,506.0,16:1,Wenatchee School District,7,Above average,"60 Terminal Avenue, Wenatchee, WA, 98801",2
9394,Sunnyslope Elementary School,Public district,K-5,305.0,20:1,Wenatchee School District,7,Above average,"3109 School Street, Wenatchee, WA, 98801",2
9395,Valley Academy Of Learning,Public district,K-12,197.0,52:1,Wenatchee School District,7,Above average,"1911 North Wenatchee Avenue, Wenatchee, WA, 98801",2
9396,Pioneer Middle School,Public district,6-8,604.0,19:1,Wenatchee School District,6,Average,"1620 Russell Street, Wenatchee, WA, 98801",2
9397,John Newbery Elementary School,Public district,K-5,475.0,18:1,Wenatchee School District,5,Average,"850 North Western Avenue, Wenatchee, WA, 98801",2
9398,Columbia Elementary School,Public district,K-5,437.0,16:1,Wenatchee School District,5,Average,"600 Alaska Street, Wenatchee, WA, 98801",2
9399,Washington Elementary School,Public district,K-5,559.0,18:1,Wenatchee School District,5,Average,"1401 Washington Street, Wenatchee, WA, 98801",2
9400,Wenatchee High School,Public district,9-12,2067.0,22:1,Wenatchee School District,5,Average,"1101 Millerdale Avenue, Wenatchee, WA, 98801",2
9401,Lewis And Clark Elementary School,Public district,K-5,479.0,17:1,Wenatchee School District,4,Below average,"1130 Princeton Avenue, Wenatchee, WA, 98801",2
9402,Orchard Middle School,Public district,6-8,494.0,15:1,Wenatchee School District,4,Below average,"1024 Orchard Avenue, Wenatchee, WA, 98801",2
9403,Abraham Lincoln Elementary School,Public district,K-5,521.0,16:1,Wenatchee School District,2,Below average,"1224 Methow Street, Wenatchee, WA, 98801",2
9404,Westside High School,Public district,9-12,251.0,18:1,Wenatchee School District,1,Below average,"1510 9th Street, Wenatchee, WA, 98801",2
9417,West Lafayette Jr/Sr High School,Public district,7-12,1129.0,15:1,West Lafayette Com School Corp,9,Above average,"1105 Grant Street, West Lafayette, IN, 47906",4
9418,William Henry Harrison High School,Public district,9-12,1983.0,18:1,Tippecanoe School Corp,8,Above average,"5701 North 50 West, West Lafayette, IN, 47906",4
9419,Happy Hollow Elementary,Public district,4-6,538.0,17:1,West Lafayette Com School Corp,8,Above average,"1200 North Salisbury Street, West Lafayette, IN, 47906",2
9420,Burnett Creek Elementary School,Public district,K-5,729.0,21:1,Tippecanoe School Corp,8,Above average,"5700 North 50 West, West Lafayette, IN, 47906",2
9421,Klondike Middle School,Public district,6-8,454.0,20:1,Tippecanoe School Corp,7,Above average,"3307 Klondike Road, West Lafayette, IN, 47906",2
9422,Klondike Elementary School,Public district,K-5,987.0,19:1,Tippecanoe School Corp,6,Average,"3311 Klondike Road, West Lafayette, IN, 47906",2
9423,Battle Ground Middle School,Public district,6-8,644.0,22:1,Tippecanoe School Corp,5,Average,"6100 North 50 West, West Lafayette, IN, 47906",2
9424,Cumberland Elementary School,Public district,K-3,709.0,17:1,West Lafayette Com School Corp,5,Average,"600 Cumberland Avenue, West Lafayette, IN, 47906",2
9442,Bak Middle School Of The Arts,Public district,6-8,1381.0,17:1,Palm Beach,10,Top rated,"1725 Echo Lake Drive, West Palm Beach, FL, 33407",2
9443,Wynnebrook Elementary School,Public district,PK-5,902.0,14:1,Palm Beach,9,Above average,"1167 Drexel Road, West Palm Beach, FL, 33417",2
9444,Alexander W Dreyfoos Junior School Of The Arts,Public district,9-12,1396.0,21:1,Palm Beach,9,Above average,"501 South Sapodilla Avenue, West Palm Beach, FL, 33401",4
9445,Golden Grove Elementary School,Public district,PK-5,616.0,17:1,Palm Beach,9,Above average,"5959 140th Avenue North, West Palm Beach, FL, 33411",2
9446,Everglades Elementary School,Public district,K-5,957.0,16:1,Palm Beach,8,Above average,"407 Marginal Road, West Palm Beach, FL, 33411",2
9447,Renaissance Charter School At West Palm Beach,Public charter,K-8,954.0,19:1,Palm Beach,8,Above average,"1889 Palm Beach Lakes Boulevard, West Palm Beach, FL, 33409",2
9448,Meadow Park Elementary School,Public district,PK-5,783.0,14:1,Palm Beach,8,Above average,"956 Florida Mango Road, West Palm Beach, FL, 33406",2
9449,Western Pines Community Middle School,Public district,6-8,1091.0,19:1,Palm Beach,8,Above average,"5949 140th Avenue North, West Palm Beach, FL, 33411",2
9450,Suncoast Community High School,Public district,9-12,1604.0,19:1,Palm Beach,7,Above average,"1717 Avenue S, West Palm Beach, FL, 33404",4
9451,Northboro Elementary School,Public district,PK-5,761.0,14:1,Palm Beach,7,Above average,"400 40th Street, West Palm Beach, FL, 33407",2
9452,South Olive Elementary School,Public district,K-5,565.0,14:1,Palm Beach,7,Above average,"7101 South Olive Avenue, West Palm Beach, FL, 33405",2
9453,G-Star School Of The Arts,Public charter,9-12,905.0,18:1,Palm Beach,6,Average,"2030 S. Congress Ave, West Palm Beach, FL, 33406",2
9454,Grassy Waters Elementary School,Public district,PK-5,831.0,14:1,Palm Beach,6,Average,"3550 North Jog Road, West Palm Beach, FL, 33411",2
9455,Pine Jog Elementary School,Public district,PK-5,917.0,16:1,Palm Beach,6,Average,"6315 Summit Boulevard, West Palm Beach, FL, 33415",2
9456,U. B. Kinsey/Palmview Elementary School,Public district,PK-5,624.0,14:1,Palm Beach,6,Average,"800 11th Street, West Palm Beach, FL, 33401",2
9457,Berkshire Elementary School,Public district,PK-5,1152.0,16:1,Palm Beach,6,Average,"1060 Kirk Road, West Palm Beach, FL, 33406",2
9458,Pleasant City Elementary School,Public district,PK-5,341.0,14:1,Palm Beach,5,Average,"2222 Spruce Avenue, West Palm Beach, FL, 33407",2
9459,Benoist Farms Elementary School,Public district,PK-5,514.0,15:1,Palm Beach,5,Average,"1765 Benoist Farms Road, West Palm Beach, FL, 33411",2
9460,Gardens School Of Technology Arts Inc,Public charter,K-8,337.0,18:1,Palm Beach,5,Average,"9153 Roan Lane, West Palm Beach, FL, 33403",2
9461,SLAM! Palm Beach,Public charter,6-8,137.0,,Palm Beach,5,Average,"2845 Summit Boulevard, West Palm Beach, FL, 33406",2
9462,Somerset Academy Lakes,Public charter,K-5,178.0,,Palm Beach,5,Average,"2845 Summit Boulevard, West Palm Beach, FL, 33406",2
9463,Northmore Elementary School,Public district,PK-5,548.0,15:1,Palm Beach,5,Average,"4111 North Terrace Drive, West Palm Beach, FL, 33407",2
9464,Westward Elementary School,Public district,PK-5,653.0,12:1,Palm Beach,5,Average,"1101 Golf Avenue, West Palm Beach, FL, 33401",2
9465,West Gate Elementary School,Public district,PK-5,800.0,12:1,Palm Beach,5,Average,"1545 Loxahatchee Drive, West Palm Beach, FL, 33409",2
9466,Palmetto Elementary School,Public district,PK-5,562.0,13:1,Palm Beach,5,Average,"5801 Parker Avenue, West Palm Beach, FL, 33405",2
9467,Bostic Traditional Magnet Elementary School,Public district,PK-5,271.0,15:1,Wichita School District,9,Above average,"8103 East Gilbert Street, Wichita, KS, 67207",2
9468,Circle Greenwich Elementary School,Public district,PK-6,264.0,15:1,Circle School District,9,Above average,"3250 North Greenwich Road, Wichita, KS, 67226",2
9469,Maize South High School,Public district,9-12,887.0,19:1,Maize School District,8,Above average,"3701 North Tyler Road, Wichita, KS, 67205",2
9471,Mclean Science/Tech Magnet Elementary School,Public district,PK-5,264.0,13:1,Wichita School District,6,Average,"2277 North Marigold Lane, Wichita, KS, 67204",2
9472,Riverside Leadership Magnet Elementary School,Public district,PK-5,258.0,16:1,Wichita School District,6,Average,"1001 North Porter Street, Wichita, KS, 67203",2
9473,Allison Traditional Magnet Middle School,Public district,6-8,523.0,15:1,Wichita School District,6,Average,"221 South Seneca Street, Wichita, KS, 67213",2
9474,Robinson Middle School,Public district,6-8,761.0,16:1,Wichita School District,6,Average,"328 North Oliver Street, Wichita, KS, 67208",2
9475,Maize South Middle School,Public district,6-8,866.0,18:1,Maize School District,6,Average,"3403 North Tyler Road, Wichita, KS, 67205",2
9476,Maize South Elementary School,Public district,K-5,628.0,19:1,Maize School District,6,Average,"3404 North Maize Road, Wichita, KS, 67205",2
9477,Cleaveland Traditional Magnet Elementary School,Public district,PK-5,266.0,14:1,Wichita School District,5,Average,"3345 West 33rd Street South, Wichita, KS, 67217",2
9478,Earhart Environ Magnet Elementary School,Public district,PK-5,386.0,16:1,Wichita School District,5,Average,"4401 North Arkansas, Wichita, KS, 67204",2
9479,Price-Harris Communications Magnet Elementary School,Public district,PK-5,415.0,16:1,Wichita School District,5,Average,"706 North Armour Street, Wichita, KS, 67206",2
9480,Mccollom Elementary School,Public district,PK-5,450.0,15:1,Wichita School District,5,Average,"1201 North Waddington Avenue, Wichita, KS, 67212",2
9481,Seltzer Elementary School,Public district,PK-5,583.0,16:1,Wichita School District,5,Average,"11660 East Lincoln Street, Wichita, KS, 67207",2
