,School,Score,Rating,Address
31594,Childrens Corner,Currently unrated,8/10,"16901 Schoolcraft St, Detroit, MI, 48227"
31595,Detroit Diesel-UAW Child Development Center,Currently unrated,8/10,"13440 W Outer Dr, Detroit, MI, 48239"
31596,United Children & Family-Mount Zion,Currently unrated,8/10,"13560 E McNichols Ave, Detroit, MI, 48234"
31597,Sunnybrook Day Nursery,Currently unrated,8/10,"13987 Wyoming St, Detroit, MI, 48238"
31598,YMCA Child Care Center,Currently unrated,8/10,"1401 Broadway St, Detroit, MI, 48226"
31599,New St. Paul HS-Brightmoor,Currently unrated,8/10,"14451 Burt Rd, Detroit, MI, 48223"
31600,Kidz World Childcare Academy,Currently unrated,8/10,"14490 Livernois Ave, Detroit, MI, 48238"
31601,Webster Head Start,Currently unrated,8/10,"1450 25th St, Detroit, MI, 48216"
31602,Angel Land Child Care Center 1,Currently unrated,8/10,"1505 Woodward, Detroit, MI, 48226"
31603,Hampton Mem Church Day Care,Currently unrated,8/10,"15100 Fenkell St, Detroit, MI, 48227"
31604,Sunshine Montessori Child Care,Currently unrated,8/10,"1519 M L K St, Detroit, MI, 48208"
31605,Kiddie Castle Child Care,Currently unrated,8/10,"15210 Forrer St, Detroit, MI, 48227"
31606,Lula Belle Stewart Center,Currently unrated,8/10,"1534 Webb St, Detroit, MI, 48206"
31607,Wayne Pre-School-New Creation,Currently unrated,8/10,"15600 Evanston St, Detroit, MI, 48224"
31608,Hartford Head Start St. Olaf,Currently unrated,8/10,"15701 James Couzens Fwy, Detroit, MI, 48238"
31609,Parenting Assistant Day Care,Currently unrated,8/10,"15771 Lauder St, Detroit, MI, 48227"
31610,Childrens Corner Center,Currently unrated,8/10,"15851 W 7 Mile Rd, Detroit, MI, 48235"
31611,Blackwell Christian Daycare,Currently unrated,8/10,"15909 W McNichols Rd, Detroit, MI, 48235"
31612,Renaissance HD St.-Good Shepard,Currently unrated,8/10,"16100 Lawton St, Detroit, MI, 48221"
31613,Jari Chas II,Currently unrated,8/10,"16141 W Eight Mile, Detroit, MI, 48235"
31614,Happy Day Child Care,Currently unrated,8/10,"1619 E State Fair, Detroit, MI, 48203"
31615,Renaissance HS-Ford Memorial,Currently unrated,8/10,"16400 W Warren Ave, Detroit, MI, 48228"
31616,Cresent House Children's Day Care Center,Currently unrated,8/10,"16419 21 W Seven Mile Rd, Detroit, MI, 48235"
31617,Peggy's Place,Currently unrated,8/10,"16630 Wyoming Ave, Detroit, MI, 48221"
31618,Bates Academy B/A School Program,Currently unrated,8/10,"16661 Greenlawn St, Detroit, MI, 48221"
31619,Childrens Corner,Currently unrated,7/10,"16901 Schoolcraft St, Detroit, MI, 48227"
31620,Adam's Nest Child Care,Currently unrated,7/10,"16950 E Warren Ave, Detroit, MI, 48224"
31621,Wonder Years Child Development Center,Currently unrated,7/10,"17000 East Eight Mile Rd, Detroit, MI, 48205"
31622,Grosse Pointe Day School,Currently unrated,7/10,"17219 Mack Ave, Detroit, MI, 48224"
31623,Charity Lutheran Head Start,Currently unrated,7/10,"17220 Kelly Rd, Detroit, MI, 48224"
31624,United Children & Fam-Charity,Currently unrated,7/10,"17220 Kelly Road, Detroit, MI, 48224"
31625,St. Scholastica Dev Center,Currently unrated,8/10,"17220 Rosemont Ave, Detroit, MI, 48219"
31626,Kinderkirk Nursery,Currently unrated,8/10,"17226 Redford St, Detroit, MI, 48219"
31627,Dottie's Loveable Learning Center,Currently unrated,8/10,"17331-35 E Warren, Detroit, MI, 48224"
31628,Westbrook Day Care Center,Currently unrated,8/10,"17377 Westbrook St, Detroit, MI, 48219"
31629,Babes in the Woods Child Development Center,Currently unrated,8/10,"17530 W McNichols Rd, Detroit, MI, 48235"
31630,Wonderworld Child Care Center,Currently unrated,8/10,"18251 Joy Rd, Detroit, MI, 48228"
31631,Children's Learning Center I,Currently unrated,8/10,"18401 W McNichols Rd, Detroit, MI, 48219"
31632,Nicey's Day Care,Currently unrated,8/10,"18452 Alcoy St, Detroit, MI, 48205"
31633,Vernon Chapel Daycare Center,Currently unrated,8/10,"18500 Norwood St, Detroit, MI, 48234"
31634,Alphabet Soup Child Care Center,Currently unrated,8/10,"18605 Schoolcraft, Detroit, MI, 48223"
31635,Renaissance HS-Second Grace,Currently unrated,8/10,"18700 Joy Rd, Detroit, MI, 48228"
31636,Clifton Day Care & Dev Center,Currently unrated,8/10,"18801 Mound Rd, Detroit, MI, 48234"
31637,Divine Power Montessori,Currently unrated,8/10,"18836 Albany St, Detroit, MI, 48234"
31638,God's Kiddie Kingdom DC,Currently unrated,8/10,"18845 W McNichols Rd, Detroit, MI, 48219"
31639,Pouncy Child Care Center,Currently unrated,8/10,"18989 San Juan Dr, Detroit, MI, 48221"
31640,Little Scholars Day Care,Currently unrated,8/10,"19000 Grand River Ave, Detroit, MI, 48223"
31641,Hartford HD St.-Jones Memorial,Currently unrated,8/10,"19195 Plainview Ave, Detroit, MI, 48219"
31642,Early Head Start,Currently unrated,8/10,"19195 Plainview St, Detroit, MI, 48219"
31643,Polk's Playhouse Day Care Center,Currently unrated,8/10,"19316 Grand River Ave, Detroit, MI, 48223"
31644,Little Village Day Care Center,Currently unrated,7/10,"19322 Wyoming St, Detroit, MI, 48221"
31645,Adam's Nest Child Care,Currently unrated,7/10,"16950 E Warren Ave, Detroit, MI, 48224"
31646,Wonder Years Child Development Center,Currently unrated,7/10,"17000 East Eight Mile Rd, Detroit, MI, 48205"
31647,Grosse Pointe Day School,Currently unrated,7/10,"17219 Mack Ave, Detroit, MI, 48224"
31648,Charity Lutheran Head Start,Currently unrated,7/10,"17220 Kelly Rd, Detroit, MI, 48224"
31649,United Children & Fam-Charity,Currently unrated,7/10,"17220 Kelly Road, Detroit, MI, 48224"
31650,St. Scholastica Dev Center,Currently unrated,7/10,"17220 Rosemont Ave, Detroit, MI, 48219"
31651,Kinderkirk Nursery,Currently unrated,7/10,"17226 Redford St, Detroit, MI, 48219"
31652,Dottie's Loveable Learning Center,Currently unrated,7/10,"17331-35 E Warren, Detroit, MI, 48224"
31653,Westbrook Day Care Center,Currently unrated,7/10,"17377 Westbrook St, Detroit, MI, 48219"
31654,Babes in the Woods Child Development Center,Currently unrated,7/10,"17530 W McNichols Rd, Detroit, MI, 48235"
31655,Wonderworld Child Care Center,Currently unrated,7/10,"18251 Joy Rd, Detroit, MI, 48228"
31656,Children's Learning Center I,Currently unrated,7/10,"18401 W McNichols Rd, Detroit, MI, 48219"
31657,Nicey's Day Care,Currently unrated,7/10,"18452 Alcoy St, Detroit, MI, 48205"
31658,Vernon Chapel Daycare Center,Currently unrated,7/10,"18500 Norwood St, Detroit, MI, 48234"
31659,Alphabet Soup Child Care Center,Currently unrated,7/10,"18605 Schoolcraft, Detroit, MI, 48223"
31660,Renaissance HS-Second Grace,Currently unrated,7/10,"18700 Joy Rd, Detroit, MI, 48228"
31661,Clifton Day Care & Dev Center,Currently unrated,7/10,"18801 Mound Rd, Detroit, MI, 48234"
31662,Divine Power Montessori,Currently unrated,7/10,"18836 Albany St, Detroit, MI, 48234"
31663,God's Kiddie Kingdom DC,Currently unrated,7/10,"18845 W McNichols Rd, Detroit, MI, 48219"
31664,Pouncy Child Care Center,Currently unrated,7/10,"18989 San Juan Dr, Detroit, MI, 48221"
31665,Little Scholars Day Care,Currently unrated,7/10,"19000 Grand River Ave, Detroit, MI, 48223"
31666,Hartford HD St.-Jones Memorial,Currently unrated,7/10,"19195 Plainview Ave, Detroit, MI, 48219"
31667,Early Head Start,Currently unrated,7/10,"19195 Plainview St, Detroit, MI, 48219"
31668,Polk's Playhouse Day Care Center,Currently unrated,7/10,"19316 Grand River Ave, Detroit, MI, 48223"
31669,Little Village Day Care Center,Currently unrated,7/10,"19322 Wyoming St, Detroit, MI, 48221"
31670,Just for Kids Day Care,Currently unrated,7/10,"19390 Dwyer St, Detroit, MI, 48234"
31671,Children's Learning Center II,Currently unrated,7/10,"19532 W McNichols Rd, Detroit, MI, 48219"
31672,Hartford Head Start Agncy Fellowshp,Currently unrated,7/10,"19555 W McNichols, Detroit, MI, 48219"
31673,Jones Head Start,Currently unrated,6/10,"1959 S Plainview, Detroit, MI, 48219"
31674,St. Johns Presbyterian Day Care Center,Currently unrated,6/10,"1961 E Lafayette St, Detroit, MI, 48207"
31675,Pasteur School Pre-School,Currently unrated,7/10,"19811 Stoepel St, Detroit, MI, 48221"
31676,Ucf St. Bartholomew Head Start,Currently unrated,7/10,"20001 Wexford St, Detroit, MI, 48234"
31677,Jones Day Care,Currently unrated,7/10,"20168 Bramford St, Detroit, MI, 48234"
31678,Citadel of Praise Day Care,Currently unrated,7/10,"20280 Lyndon St, Detroit, MI, 48223"
31679,Darling Angels Child Care Center,Currently unrated,7/10,"20500 Moross Rd, Detroit, MI, 48224"
31680,Vistas Nuevas HD St.-Hernandez,Currently unrated,7/10,"2051 Rosa Parks Blvd-1k, Detroit, MI, 48216"
31681,United CHDRN-St. Bartholomew Head Start,Currently unrated,7/10,"20601 Wexford St, Detroit, MI, 48234"
31682,Fox Tots Child Development Center,Currently unrated,7/10,"2211 Woodward Ave, Detroit, MI, 48201"
31683,Hartford HD St.-Leland,Currently unrated,7/10,"22420 Fenkell, Detroit, MI, 48219"
31684,SCFDHS-St. Paul Center,Currently unrated,7/10,"2260 Hunt St, Detroit, MI, 48207"
31685,Campbell Head Start,Currently unrated,7/10,"2301 E Alexandrine St, Detroit, MI, 48207"
31686,Indian Village Child Care Center,Currently unrated,7/10,"2411 Iroquois St, Detroit, MI, 48214"
31687,Crossroads Day Care,Currently unrated,7/10,"2441 East 7 Mile Road, Detroit, MI, 48234"
31688,Detroit Open B & A School Program,Currently unrated,7/10,"24601 Frisbee, Detroit, MI, 48219"
31689,Cots Day Care,Currently unrated,7/10,"26 Peterboro St, Detroit, MI, 48201"
31690,Sweet Home Co-Op Day Care Center,Currently unrated,7/10,"2764 W Grand Blvd, Detroit, MI, 48202"
31691,Woodward School-Title 1,Currently unrated,7/10,"2900 Wreford St, Detroit, MI, 48208"
31692,Hilburn Child Care Center,Currently unrated,7/10,"2970 Taylor St, Detroit, MI, 48206"
31693,Peoples Baptist Child Care Center,Currently unrated,7/10,"3000 McDougall St, Detroit, MI, 48207"
31694,Rainbow Rascal Learnng Center,Currently unrated,7/10,"3031 W Grand Blvd, Detroit, MI, 48202"
31695,Just for Kids Day Care,Currently unrated,7/10,"19390 Dwyer St, Detroit, MI, 48234"
31696,Children's Learning Center II,Currently unrated,7/10,"19532 W McNichols Rd, Detroit, MI, 48219"
31697,Hartford Head Start Agncy Fellowshp,Currently unrated,7/10,"19555 W McNichols, Detroit, MI, 48219"
31698,Jones Head Start,Currently unrated,6/10,"1959 S Plainview, Detroit, MI, 48219"
31699,St. Johns Presbyterian Day Care Center,Currently unrated,6/10,"1961 E Lafayette St, Detroit, MI, 48207"
31700,Pasteur School Pre-School,Currently unrated,6/10,"19811 Stoepel St, Detroit, MI, 48221"
31701,Ucf St. Bartholomew Head Start,Currently unrated,6/10,"20001 Wexford St, Detroit, MI, 48234"
31702,Jones Day Care,Currently unrated,6/10,"20168 Bramford St, Detroit, MI, 48234"
31703,Citadel of Praise Day Care,Currently unrated,6/10,"20280 Lyndon St, Detroit, MI, 48223"
31704,Darling Angels Child Care Center,Currently unrated,6/10,"20500 Moross Rd, Detroit, MI, 48224"
31705,Vistas Nuevas HD St.-Hernandez,Currently unrated,6/10,"2051 Rosa Parks Blvd-1k, Detroit, MI, 48216"
31706,United CHDRN-St. Bartholomew Head Start,Currently unrated,6/10,"20601 Wexford St, Detroit, MI, 48234"
31707,Fox Tots Child Development Center,Currently unrated,6/10,"2211 Woodward Ave, Detroit, MI, 48201"
31708,Hartford HD St.-Leland,Currently unrated,6/10,"22420 Fenkell, Detroit, MI, 48219"
31709,SCFDHS-St. Paul Center,Currently unrated,6/10,"2260 Hunt St, Detroit, MI, 48207"
31710,Campbell Head Start,Currently unrated,6/10,"2301 E Alexandrine St, Detroit, MI, 48207"
31711,Indian Village Child Care Center,Currently unrated,6/10,"2411 Iroquois St, Detroit, MI, 48214"
31712,Crossroads Day Care,Currently unrated,6/10,"2441 East 7 Mile Road, Detroit, MI, 48234"
31713,Detroit Open B & A School Program,Currently unrated,6/10,"24601 Frisbee, Detroit, MI, 48219"
31714,Cots Day Care,Currently unrated,6/10,"26 Peterboro St, Detroit, MI, 48201"
31715,Sweet Home Co-Op Day Care Center,Currently unrated,6/10,"2764 W Grand Blvd, Detroit, MI, 48202"
31716,Woodward School-Title 1,Currently unrated,6/10,"2900 Wreford St, Detroit, MI, 48208"
31717,Hilburn Child Care Center,Currently unrated,6/10,"2970 Taylor St, Detroit, MI, 48206"
31718,Peoples Baptist Child Care Center,Currently unrated,6/10,"3000 McDougall St, Detroit, MI, 48207"
31719,Rainbow Rascal Learnng Center,Currently unrated,5/10,"3031 W Grand Blvd, Detroit, MI, 48202"
31720,Williams Chapel Day Care Center,Currently unrated,5/10,"3100 Elmwood St, Detroit, MI, 48207"
31721,Summer Preschool Early Learning Center Ii,Currently unrated,5/10,"3121 McNichols Road West, Detroit, MI, 48221"
31722,Gods LTL Angels Child Care Center,Currently unrated,5/10,"3301 Magnolia St, Detroit, MI, 48208"
31723,Joys of Bethel Child Care Center,Currently unrated,5/10,"3381 Mack Ave, Detroit, MI, 48207"
31724,Tender Loving Child Day Care,Currently unrated,5/10,"3700 Theodore St, Detroit, MI, 48211"
31725,Vistas Nuevas HS-Gilbert,Currently unrated,6/10,"3810 Gilbert St, Detroit, MI, 48210"
31726,Fiore Child Center-Vista Nuevas,Currently unrated,6/10,"3950 Toledo St, Detroit, MI, 48209"
31727,Southeast Head Start,Currently unrated,6/10,"3975 Concord St, Detroit, MI, 48207"
31728,Wayne State U Nursery School,Currently unrated,6/10,"4500 Cass Ave, Detroit, MI, 48201"
31729,Angel Land Child Care Center,Currently unrated,6/10,"455 Fort, Detroit, MI, 48226"
31730,St. Peter Claver Child Care,Currently unrated,6/10,"461 Eliot St, Detroit, MI, 48201"
31731,Apple Tree Early Learning Center,Currently unrated,6/10,"477 Michigan Ave, Detroit, MI, 48226"
31732,VNHS-Word of Truth Center,Currently unrated,6/10,"4900 Lovett St, Detroit, MI, 48210"
31733,Blossoming Child Development Center,Currently unrated,6/10,"4919 Elmhurst St, Detroit, MI, 48204"
31734,Rainbow Child Development Center,Currently unrated,6/10,"500 Renaissance Ctr, Detroit, MI, 48243"
31735,Wayne State University Nursery School,Currently unrated,6/10,"5425 Gullen Mall, Detroit, MI, 48202"
31736,Vistas Nuevas HD St.-Cecil,Currently unrated,6/10,"5690 Cecil, Detroit, MI, 48210"
31737,Bethel East Center,Currently unrated,6/10,"5715 Holcomb St, Detroit, MI, 48213"
31738,Bellevue Headstart,Currently unrated,6/10,"5901 Canton St, Detroit, MI, 48207"
31739,Wayne County Kidspace,Currently unrated,6/10,"600 Randolph St, Detroit, MI, 48226"
31740,Stephens School Head Start,Currently unrated,6/10,"6006 Seneca St, Detroit, MI, 48213"
31741,ABC Home Day Care,Currently unrated,6/10,"6140 Grayton, Detroit, MI, 48224"
31742,Once Upon A Time Child World,Currently unrated,6/10,"634 Horton St, Detroit, MI, 48202"
31743,Cooper-Head Start & Title 1,Currently unrated,6/10,"6836 Georgia St, Detroit, MI, 48211"
31744,Wsu Psy Child Development Lab,Currently unrated,5/10,"71 E Ferry St, Detroit, MI, 48202"
31745,Williams Chapel Day Care Center,Currently unrated,5/10,"3100 Elmwood St, Detroit, MI, 48207"
31746,Summer Preschool Early Learning Center Ii,Currently unrated,5/10,"3121 McNichols Road West, Detroit, MI, 48221"
31747,Gods LTL Angels Child Care Center,Currently unrated,5/10,"3301 Magnolia St, Detroit, MI, 48208"
31748,Joys of Bethel Child Care Center,Currently unrated,5/10,"3381 Mack Ave, Detroit, MI, 48207"
31749,Tender Loving Child Day Care,Currently unrated,5/10,"3700 Theodore St, Detroit, MI, 48211"
31750,Vistas Nuevas HS-Gilbert,Currently unrated,5/10,"3810 Gilbert St, Detroit, MI, 48210"
31751,Fiore Child Center-Vista Nuevas,Currently unrated,5/10,"3950 Toledo St, Detroit, MI, 48209"
31752,Southeast Head Start,Currently unrated,5/10,"3975 Concord St, Detroit, MI, 48207"
31753,Wayne State U Nursery School,Currently unrated,5/10,"4500 Cass Ave, Detroit, MI, 48201"
31754,Angel Land Child Care Center,Currently unrated,5/10,"455 Fort, Detroit, MI, 48226"
31755,St. Peter Claver Child Care,Currently unrated,5/10,"461 Eliot St, Detroit, MI, 48201"
31756,Apple Tree Early Learning Center,Currently unrated,5/10,"477 Michigan Ave, Detroit, MI, 48226"
31757,VNHS-Word of Truth Center,Currently unrated,5/10,"4900 Lovett St, Detroit, MI, 48210"
31758,Blossoming Child Development Center,Currently unrated,5/10,"4919 Elmhurst St, Detroit, MI, 48204"
31759,Rainbow Child Development Center,Currently unrated,5/10,"500 Renaissance Ctr, Detroit, MI, 48243"
31760,Wayne State University Nursery School,Currently unrated,5/10,"5425 Gullen Mall, Detroit, MI, 48202"
31761,Vistas Nuevas HD St.-Cecil,Currently unrated,5/10,"5690 Cecil, Detroit, MI, 48210"
31762,Bethel East Center,Currently unrated,5/10,"5715 Holcomb St, Detroit, MI, 48213"
31763,Bellevue Headstart,Currently unrated,5/10,"5901 Canton St, Detroit, MI, 48207"
31764,Wayne County Kidspace,Currently unrated,5/10,"600 Randolph St, Detroit, MI, 48226"
31765,Stephens School Head Start,Currently unrated,5/10,"6006 Seneca St, Detroit, MI, 48213"
31766,ABC Home Day Care,Currently unrated,5/10,"6140 Grayton, Detroit, MI, 48224"
31767,Once Upon A Time Child World,Currently unrated,5/10,"634 Horton St, Detroit, MI, 48202"
31768,Cooper-Head Start & Title 1,Currently unrated,5/10,"6836 Georgia St, Detroit, MI, 48211"
31769,Wsu Psy Child Development Lab,Currently unrated,5/10,"71 E Ferry St, Detroit, MI, 48202"
31770,Mayflower Head Start,Currently unrated,5/10,"7301 Curtis St, Detroit, MI, 48221"
31771,Childrens Aid Society Day Care Center,Currently unrated,5/10,"7375 Woltwort Ave, Detroit, MI, 48202"
31772,Renaissance HS-Unity Center,Currently unrated,5/10,"7500 Tireman St, Detroit, MI, 48204"
31773,Thirkell Head Start,Currently unrated,5/10,"7724 14th St, Detroit, MI, 48206"
31774,Clinton Head Start,Currently unrated,4/10,"8145 Chalfonte St, Detroit, MI, 48238"
31775,Vistas Nuevas HD St.-Reyes Center,Currently unrated,5/10,"8500 W Vernor St, Detroit, MI, 48209"
31776,Wayne Community CLG Children's Center,Currently unrated,5/10,"8551 Greenfield Rd, Detroit, MI, 48228"
31777,Family Place,Currently unrated,5/10,"8726 Woodward Ave, Detroit, MI, 48202"
31778,Pencil Palace Day Care Nursery,Currently unrated,5/10,"8800 Joy Rd, Detroit, MI, 48204"
31779,Carr's Cuddle & Care DC,Currently unrated,5/10,"8910 Ward St, Detroit, MI, 48228"
31780,Tot Town Child Development Center,Currently unrated,5/10,"8950 Greenfield Rd, Detroit, MI, 48228"
31781,Jude Family Child Care Center,Currently unrated,5/10,"9105 Van Dyke St, Detroit, MI, 48213"
31782,Kreative Child Care Center,Currently unrated,5/10,"9226 Kercheval St, Detroit, MI, 48214"
31783,Fountain of Life Day School,Currently unrated,5/10,"9555 Saint Marys St, Detroit, MI, 48227"
31784,Jean Jean's Day Care,Currently unrated,5/10,"9566 Prest St, Detroit, MI, 48227"
31785,YMCA Child Care Center-Upa,Currently unrated,5/10,"957 Holden St, Detroit, MI, 48202"
31786,Iris Child Care Center,Currently unrated,5/10,"9611 Iris St, Detroit, MI, 48227"
31787,Clinton St. Greater Beth Tem CHRC,Currently unrated,5/10,"2901 Rochester, Detroit, MI, 48206"
31788,Iskcon School,Currently unrated,5/10,"383 Lenox Avenue, Detroit, MI, 48215"
31789,Todd Phillips Learning Resource,Currently unrated,5/10,"1561 Webb, Detroit, MI, 48206"
31790,Tree of Life Christian Alternative School,Currently unrated,5/10,"3301 Magnolia, Detroit, MI, 48208"
31791,Cornerstone Schools Grove,Currently unrated,5/10,"13436 Grove Avenue, Detroit, MI, 48235"
31792,Cornerstone Nevada Middle,Currently unrated,5/10,"6861 East Nevada St, Detroit, MI, 48234"
31793,New Center Academy,Currently unrated,5/10,"141 West Boston Boulevard, Detroit, MI, 48202"
31794,Rosa Parks Academy,Currently unrated,5/10,"8913 Westfield St, Detroit, MI, 48204"
31795,Mayflower Head Start,Currently unrated,5/10,"7301 Curtis St, Detroit, MI, 48221"
31796,Childrens Aid Society Day Care Center,Currently unrated,5/10,"7375 Woltwort Ave, Detroit, MI, 48202"
31797,Renaissance HS-Unity Center,Currently unrated,5/10,"7500 Tireman St, Detroit, MI, 48204"
31798,Thirkell Head Start,Currently unrated,5/10,"7724 14th St, Detroit, MI, 48206"
31799,Clinton Head Start,Currently unrated,4/10,"8145 Chalfonte St, Detroit, MI, 48238"
31800,Vistas Nuevas HD St.-Reyes Center,Currently unrated,4/10,"8500 W Vernor St, Detroit, MI, 48209"
31801,Wayne Community CLG Children's Center,Currently unrated,4/10,"8551 Greenfield Rd, Detroit, MI, 48228"
31802,Family Place,Currently unrated,4/10,"8726 Woodward Ave, Detroit, MI, 48202"
31803,Pencil Palace Day Care Nursery,Currently unrated,4/10,"8800 Joy Rd, Detroit, MI, 48204"
31804,Carr's Cuddle & Care DC,Currently unrated,4/10,"8910 Ward St, Detroit, MI, 48228"
31805,Tot Town Child Development Center,Currently unrated,4/10,"8950 Greenfield Rd, Detroit, MI, 48228"
31806,Jude Family Child Care Center,Currently unrated,4/10,"9105 Van Dyke St, Detroit, MI, 48213"
31807,Kreative Child Care Center,Currently unrated,4/10,"9226 Kercheval St, Detroit, MI, 48214"
31808,Fountain of Life Day School,Currently unrated,4/10,"9555 Saint Marys St, Detroit, MI, 48227"
31809,Jean Jean's Day Care,Currently unrated,4/10,"9566 Prest St, Detroit, MI, 48227"
31810,YMCA Child Care Center-Upa,Currently unrated,4/10,"957 Holden St, Detroit, MI, 48202"
31811,Iris Child Care Center,Currently unrated,4/10,"9611 Iris St, Detroit, MI, 48227"
31812,Clinton St. Greater Beth Tem CHRC,Currently unrated,4/10,"2901 Rochester, Detroit, MI, 48206"
31813,Iskcon School,Currently unrated,4/10,"383 Lenox Avenue, Detroit, MI, 48215"
31814,Todd Phillips Learning Resource,Currently unrated,4/10,"1561 Webb, Detroit, MI, 48206"
31815,Tree of Life Christian Alternative School,Currently unrated,4/10,"3301 Magnolia, Detroit, MI, 48208"
31816,Cornerstone Schools Grove,Currently unrated,4/10,"13436 Grove Avenue, Detroit, MI, 48235"
31817,Cornerstone Nevada Middle,Currently unrated,4/10,"6861 East Nevada St, Detroit, MI, 48234"
31818,New Center Academy,Currently unrated,4/10,"141 West Boston Boulevard, Detroit, MI, 48202"
31819,Rosa Parks Academy,Currently unrated,4/10,"8913 Westfield St, Detroit, MI, 48204"
31820,City Mission Academy,Currently unrated,4/10,"20405 Schoolcraft, Detroit, MI, 48223"
31821,Learning Links Academy,Currently unrated,4/10,"19363 James Couzens, Detroit, MI, 48235"
31822,Al-Ihsan Academy,Currently unrated,4/10,"14350 Tireman Avenue, Detroit, MI, 48228"
31823,Osborn Evergreen Academy Of Design And Alternative,Currently unrated,4/10,"11600 Seven Mile East, Detroit, MI, 48205"
31824,Detroit Institute Of Technology At Cody,Currently unrated,4/10,"18445 Cathedral Street, Detroit, MI, 48228"
31825,Osborn College Preparatory Academy,Currently unrated,4/10,"11600 Seven Mile East, Detroit, MI, 48205"
31826,Blanche Kelso Bruce Academy - Cecil Site,Currently unrated,4/10,"2750 Selden Street, Detroit, MI, 48208"
31827,Detroit Cristo Rey High School,Currently unrated,4/10,"5679 West Vernor Hwy, Detroit, MI, 48209"
31828,Cornerstone Leadership & Business High School,Currently unrated,4/10,"6861 E Nevada St, Detroit, MI, 48234"
31829,Capstone Academy Charter School (SDA) - South Campus,Currently unrated,4/10,"3500 John R Street, Detroit, MI, 48201"
31830,City Mission Academy,Currently unrated,4/10,"20405 Schoolcraft, Detroit, MI, 48223"
31831,Learning Links Academy,Currently unrated,4/10,"19363 James Couzens, Detroit, MI, 48235"
31832,Al-Ihsan Academy,Currently unrated,4/10,"14350 Tireman Avenue, Detroit, MI, 48228"
31833,Osborn Evergreen Academy Of Design And Alternative,Currently unrated,4/10,"11600 Seven Mile East, Detroit, MI, 48205"
31834,Detroit Institute Of Technology At Cody,Currently unrated,4/10,"18445 Cathedral Street, Detroit, MI, 48228"
31835,Osborn College Preparatory Academy,Currently unrated,4/10,"11600 Seven Mile East, Detroit, MI, 48205"
31836,Blanche Kelso Bruce Academy - Cecil Site,Currently unrated,4/10,"2750 Selden Street, Detroit, MI, 48208"
31837,Detroit Cristo Rey High School,Currently unrated,4/10,"5679 West Vernor Hwy, Detroit, MI, 48209"
31838,Cornerstone Leadership & Business High School,Currently unrated,4/10,"6861 E Nevada St, Detroit, MI, 48234"
31839,Capstone Academy Charter School (SDA) - South Campus,Currently unrated,4/10,"3500 John R Street, Detroit, MI, 48201"
31840,Liberty Traditional Charter School - Saddleback,Above average,4/10,"3715 North Washington Avenue, Douglas, AZ, 85607"
31841,Center For Academic Success #4,Average,4/10,"1415 F Avenue, Douglas, AZ, 85607"
31842,Stevenson Elementary School,Average,4/10,"2200 11th Street, Douglas, AZ, 85607"
31843,Center For Academic Success Â The #3,Average,4/10,"919 East 3rd Street, Douglas, AZ, 85607"
31844,Omega Alpha Academy School,Average,4/10,"1402 San Antonio Ave, Douglas, AZ, 85607"
31845,Clawson School,Average,4/10,"1235 East 7th Street, Douglas, AZ, 85607"
31846,Douglas High School,Below average,4/10,"1500 15th Street, Douglas, AZ, 85607"
31847,Paul H Huber Junior High School,Below average,4/10,"1650 North Washington Avenue, Douglas, AZ, 85607"
31848,Center For Academic Success The #2,Below average,4/10,"510 G Avenue, Douglas, AZ, 85607"
31849,Ray Borane Middle School,Below average,4/10,"840 12th Street, Douglas, AZ, 85607"
31850,Joe Carlson Elementary School,Below average,4/10,"1700 North Louis Avenue, Douglas, AZ, 85607"
31851,Sarah Marley School,Below average,4/10,"735 East 7th Street, Douglas, AZ, 85607"
31852,PPEP Tec - Raul H. Castro Learning Center,Below average,4/10,"530 12th Street, Douglas, AZ, 85607"
31853,Loretto Catholic School,Currently unrated,4/10,"1200 East 14th Street, Douglas, AZ, 85607"
31854,Lestonnac Preschool and Kindergarten,Currently unrated,4/10,"1047 E 10th St, Douglas, AZ, 85607"
31855,Ctd - Douglas High School,Currently unrated,4/10,"1500 15th Street, Douglas, AZ, 85607"
31856,Bonita Head Start,Currently unrated,4/10,"1201 East 16th Street, Douglas, AZ, 85607"
31857,Lomeli's Day Care,Currently unrated,3/10,"1281 20th St, Douglas, AZ, 85607"
31858,Saida Moroyoqui Day Care,Currently unrated,3/10,"2300 East 13th Street, Douglas, AZ, 85607"
31859,Arco Iris Daycare Center,Currently unrated,3/10,"2340 East Primrose Street, Douglas, AZ, 85607"
31860,La Escuelita Head Start Center,Currently unrated,3/10,"460 F Avenue, Douglas, AZ, 85607"
31861,Aurora's Day Care,Currently unrated,3/10,"5 E Merritt Ave, Douglas, AZ, 85607"
31862,La Escuelita Head Start Center,Currently unrated,3/10,"605 F Avenue, Douglas, AZ, 85607"
31863,Golden Child Day Care,Currently unrated,3/10,"901 East 7th Street, Douglas, AZ, 85607"
31864,Nuestros Ninos Pre-School,Currently unrated,3/10,"Abc 100 Coronado Courts, Douglas, AZ, 85607"
31865,Liberty Traditional Charter School - Saddleback,Above average,3/10,"3715 North Washington Avenue, Douglas, AZ, 85607"
31866,Center For Academic Success #4,Average,3/10,"1415 F Avenue, Douglas, AZ, 85607"
31867,Stevenson Elementary School,Average,3/10,"2200 11th Street, Douglas, AZ, 85607"
