,School,Type,Grades,Total students enrolled,Students per teacher,Reviews,District
15,"5/10AverageCherry Road Elementary School201 Cherry Road, Syracuse, NY, 13219 Homes for sale",Public district,2-4,364.0,15:1,1 review,Westhill Central School District
16,"5/10AverageOnondaga Hill Middle School4860 Onondaga Road, Syracuse, NY, 13215 Homes for sale",Public district,5-8,558.0,12:1,4 reviews,Westhill Central School District
17,"4/10Below averageFrazer K 8 School741 Park Avenue, Syracuse, NY, 13204 Homes for sale",Public district,PK-8,921.0,13:1,4 reviews,Syracuse City School District
18,"4/10Below averageHuntington K 8 School400 Sunnycrest Road, Syracuse, NY, 13206 Homes for sale",Public district,PK-8,965.0,14:1,5 reviews,Syracuse City School District
19,"4/10Below averageSalem Hyde Elementary School450 Durston Avenue, Syracuse, NY, 13203 Homes for sale",Public district,PK-6,556.0,12:1,7 reviews,Syracuse City School District
20,"4/10Below averageVan Duyn Elementary School401 Loomis Avenue, Syracuse, NY, 13207 Homes for sale",Public district,PK-5,445.0,13:1,3 reviews,Syracuse City School District
21,"4/10Below averageSyracuse Academy of Science Charter School1001 Park Avenue, Syracuse, NY, 13204 Homes for sale",Public charter,K-12,950.0,16:1,13 reviews,
22,"4/10Below averageSolvay Middle School299 Bury Drive, Syracuse, NY, 13209 Homes for sale",Public district,"PK, 5-8",447.0,11:1,7 reviews,Solvay Union Free School District
23,"3/10Below averageSolvay Elementary School701 Woods Road, Syracuse, NY, 13209 Homes for sale",Public district,K-4,479.0,10:1,5 reviews,Solvay Union Free School District
24,"3/10Below averageDr Weeks Elementary School710 Hawley Avenue, Syracuse, NY, 13203 Homes for sale",Public district,PK-5,780.0,14:1,2 reviews,Syracuse City School District
0,"9/10Above averageLowell810 Mr Dahl Drive, Tacoma, WA, 98403 Homes for sale",Public district,K-5,432.0,19:1,5 reviews,Tacoma School District
1,"9/10Above averageDrum Intermediate School4909 79th Avenue West, Tacoma, WA, 98467 Homes for sale",Public district,5-7,589.0,20:1,10 reviews,University Place School District
2,"8/10Above averageNaches Trail Elementary School15305 Waller Road East, Tacoma, WA, 98446 Homes for sale",Public district,K-5,554.0,20:1,10 reviews,Bethel School District
3,"8/10Above averageBrowns Point1526 51st Street Northeast, Tacoma, WA, 98422 Homes for sale",Public district,K-5,428.0,18:1,10 reviews,Tacoma School District
4,"8/10Above averageGeiger Montessori School7401 South 8th Street, Tacoma, WA, 98465 Homes for sale",Public district,K-5,476.0,19:1,9 reviews,Tacoma School District
5,"8/10Above averageJefferson6501 North 23rd Street, Tacoma, WA, 98406 Homes for sale",Public district,PK-5,318.0,17:1,13 reviews,Tacoma School District
6,"8/10Above averageSkyline2301 North Mildred Street, Tacoma, WA, 98406 Homes for sale",Public district,PK-5,349.0,15:1,3 reviews,Tacoma School District
7,"7/10Above averageChester H Thompson Elementary School303 159th Street East, Tacoma, WA, 98445 Homes for sale",Public district,K-5,621.0,18:1,6 reviews,Bethel School District
8,"7/10Above averageDowning2502 North Orchard Street, Tacoma, WA, 98406 Homes for sale",Public district,PK-5,285.0,20:1,4 reviews,Tacoma School District
9,"7/10Above averageMann1002 South 52nd Street, Tacoma, WA, 98408 Homes for sale",Public district,PK-5,472.0,17:1,3 reviews,Tacoma School District
10,"7/10Above averagePoint Defiance4330 North Visscher Street, Tacoma, WA, 98407 Homes for sale",Public district,PK-5,393.0,19:1,12 reviews,Tacoma School District
11,"7/10Above averageStanley1712 South 17th Street, Tacoma, WA, 98405 Homes for sale",Public district,PK-5,303.0,15:1,4 reviews,Tacoma School District
12,"7/10Above averageCrescent Heights4110 Nassau Avenue Northeast, Tacoma, WA, 98422 Homes for sale",Public district,K-5,465.0,18:1,11 reviews,Tacoma School District
13,"7/10Above averageScience And Math Institute5501 North Pearl Street, Tacoma, WA, 98407 Homes for sale",Public district,9-12,484.0,18:1,4 reviews,Tacoma School District
14,"7/10Above averageIndustrial Design Engineering And Art6701 South Park Avenue, Tacoma, WA, 98408 Homes for sale",Public district,9,161.0,,No reviews yet,Tacoma School District
15,"6/10AverageBryant717 South Grant Avenue, Tacoma, WA, 98405 Homes for sale",Public district,PK-8,510.0,20:1,6 reviews,Tacoma School District
16,"6/10AverageEdison5830 South Pine Street, Tacoma, WA, 98409 Homes for sale",Public district,PK-5,432.0,16:1,13 reviews,Tacoma School District
17,"6/10AverageGrant1018 North Prospect St, Tacoma, WA, 98406 Homes for sale",Public district,PK-5,342.0,17:1,12 reviews,Tacoma School District
18,"6/10AverageManitou Park4330 South 66th Street, Tacoma, WA, 98409 Homes for sale",Public district,PK-5,470.0,18:1,13 reviews,Tacoma School District
19,"6/10AverageNortheast Tacoma5412 29th Street Northeast, Tacoma, WA, 98422 Homes for sale",Public district,PK-5,373.0,18:1,6 reviews,Tacoma School District
20,"6/10AverageStadium111 North E Street, Tacoma, WA, 98403 Homes for sale",Public district,9-12,1459.0,22:1,7 reviews,Tacoma School District
21,"6/10AverageWashington-Hoyt6501 South 10th Street, Tacoma, WA, 98465 Homes for sale",Public district,K-5,478.0,19:1,5 reviews,Tacoma School District
22,"6/10AverageWhitman1120 South 39th Street, Tacoma, WA, 98418 Homes for sale",Public district,PK-5,389.0,18:1,3 reviews,Tacoma School District
23,"6/10AverageSunset Primary School4523 97th Avenue West, Tacoma, WA, 98466 Homes for sale",Public district,K-4,485.0,17:1,1 review,University Place School District
24,"6/10AverageHarrison Preparatory School8800 121st Street Southwest, Tacoma, WA, 98498 Homes for sale",Public district,6-12,687.0,21:1,16 reviews,Clover Park School District
0,"9/10Above averageLeon County Virtual School500 Appleyard Drive, Tallahassee, FL, 32304 Homes for sale",Public district,6-12,44.0,4:1,1 review,Leon
1,"9/10Above averageKillearn Lakes Elementary School8037 Deer Lake East, Tallahassee, FL, 32312 Homes for sale",Public district,PK-5,860.0,16:1,11 reviews,Leon
2,"9/10Above averageBuck Lake Elementary School1600 Pedrick Road, Tallahassee, FL, 32317 Homes for sale",Public district,PK-5,761.0,16:1,8 reviews,Leon
3,"9/10Above averageHawks Rise Elementary School205 Meadow Ridge Drive, Tallahassee, FL, 32312 Homes for sale",Public district,PK-5,870.0,16:1,11 reviews,Leon
4,"9/10Above averageFlorida State University School3 awardsAwards & BadgesCollege Success Award2018, 2019, 2020See all winners in Florida3000 School House Road, Tallahassee, FL, 32311 Homes for sale",Public charter,K-12,1726.0,15:1,17 reviews,Fsu Lab Sch
5,"8/10Above averageLawton Chiles High School3 awardsAwards & BadgesCollege Success Award2018, 2019, 2020See all winners in Florida7200 Lawton Chiles Lane, Tallahassee, FL, 32312 Homes for sale",Public district,9-12,2077.0,24:1,11 reviews,Leon
6,"8/10Above averageThe School of Arts & Sciences3208 Thomasville Road, Tallahassee, FL, 32308 Homes for sale",Public charter,K-8,423.0,11:1,8 reviews,Leon
7,"8/10Above averageRoberts Elementary School5777 Pimlico Drive, Tallahassee, FL, 32309 Homes for sale",Public district,PK-5,857.0,15:1,10 reviews,Leon
8,"8/10Above averageWilliam J Montford Iii Middle School5789 Pimlico Drive, Tallahassee, FL, 32309 Homes for sale",Public district,6-8,1073.0,21:1,5 reviews,Leon
9,"8/10Above averageGilchrist Elementary School1301 Timberlane Road, Tallahassee, FL, 32312 Homes for sale",Public district,PK-5,955.0,17:1,9 reviews,Leon
10,"8/10Above averageDesoto Trail Elementary School5200 Tredington Park Drive, Tallahassee, FL, 32309 Homes for sale",Public district,PK-5,677.0,16:1,7 reviews,Leon
11,"8/10Above averageDeerlake Middle School9902 Deer Lake West, Tallahassee, FL, 32312 Homes for sale",Public district,6-8,992.0,21:1,8 reviews,Leon
12,"7/10Above averageLeon High School3 awardsAwards & BadgesCollege Success Award2018, 2019, 2020See all winners in Florida550 East Tennessee Street, Tallahassee, FL, 32308 Homes for sale",Public district,9-12,2085.0,24:1,7 reviews,Leon
13,"7/10Above averageSealey Elementary School2815 Allen Road, Tallahassee, FL, 32312 Homes for sale",Public district,PK-5,476.0,14:1,8 reviews,Leon
14,"6/10AverageKate Sullivan Elementary School927 Miccosukee Road, Tallahassee, FL, 32308 Homes for sale",Public district,PK-5,771.0,16:1,11 reviews,Leon
15,"6/10AverageSchool Of Arts & Science Center2415 N Monroe St Suite 2700, Tallahassee, FL, 32301 Homes for sale",Public charter,K-8,258.0,12:1,2 reviews,Leon
16,"5/10AverageSail2006 Jackson Bluff Road, Tallahassee, FL, 32304 Homes for sale",Public district,9-12,391.0,18:1,4 reviews,Leon
17,"5/10AverageTallahassee School Of Math & Science3434 North Monroe Street, Tallahassee, FL, 32303 Homes for sale",Public charter,K-8,436.0,14:1,19 reviews,Leon
18,"5/10AverageJ Michael Conley Elementary School At Southwood2400 Orange Avenue, Tallahassee, FL, 32311 Homes for sale",Public district,PK-5,835.0,15:1,12 reviews,Leon
19,"5/10AverageElizabeth Cobb Middle School915 Hillcrest Street, Tallahassee, FL, 32308 Homes for sale",Public district,6-8,870.0,19:1,11 reviews,Leon
20,"5/10AverageSabal Palm Elementary School2813 Ridgeway Street, Tallahassee, FL, 32310 Homes for sale",Public district,PK-5,520.0,15:1,5 reviews,Leon
21,"5/10AverageLincoln High School2 awardsAwards & BadgesCollege Success Award2018, 2020See all winners in Florida3838 Trojan Trail, Tallahassee, FL, 32311 Homes for sale",Public district,9-12,2094.0,24:1,9 reviews,Leon
22,"5/10AverageSpringwood Elementary School3801 Fred George Road, Tallahassee, FL, 32303 Homes for sale",Public district,PK-5,618.0,16:1,13 reviews,Leon
23,"5/10AverageSwift Creek Middle School2100 Pedrick Road, Tallahassee, FL, 32317 Homes for sale",Public district,6-8,791.0,18:1,10 reviews,Leon
24,"5/10AverageCanopy Oaks Elementary School3250 Point View Drive, Tallahassee, FL, 32303 Homes for sale",Public district,PK-5,727.0,16:1,9 reviews,Leon
0,"10/10Top ratedBryant Elementary School13910 Nine Eagles Drive, Tampa, FL, 33626 Homes for sale",Public district,PK-5,967.0,14:1,18 reviews,Hillsborough
1,"9/10Above averageChiles Elementary School16541 Tampa Palms Boulevard West, Tampa, FL, 33647 Homes for sale",Public district,K-5,912.0,14:1,29 reviews,Hillsborough
2,"9/10Above averagePride Elementary School10310 Lions Den Drive, Tampa, FL, 33647 Homes for sale",Public district,PK-5,971.0,14:1,25 reviews,Hillsborough
3,"9/10Above averageHorizon Charter School of Tampa7235 W Hillsborough Ave, Tampa, FL, 33634 Homes for sale",Public charter,K-8,308.0,16:1,19 reviews,Hillsborough
4,"9/10Above averageMacfarlane Park Elementary Magnet School1721 North Macdill Avenue, Tampa, FL, 33607 Homes for sale",Public district,K-5,370.0,15:1,37 reviews,Hillsborough
5,"9/10Above averageDeer Park Elementary School11605 Citrus Park Drive, Tampa, FL, 33626 Homes for sale",Public district,PK-5,953.0,15:1,27 reviews,Hillsborough
6,"9/10Above averageColeman Middle School1724 South Manhattan Avenue, Tampa, FL, 33629 Homes for sale",Public district,6-8,982.0,17:1,11 reviews,Hillsborough
7,"9/10Above averageGorrie Elementary School705 West De Leon Street, Tampa, FL, 33606 Homes for sale",Public district,K-5,595.0,13:1,10 reviews,Hillsborough
8,"9/10Above averageGrady Elementary School3910 West Morrison Avenue, Tampa, FL, 33629 Homes for sale",Public district,PK-5,501.0,13:1,33 reviews,Hillsborough
9,"9/10Above averageRoland Park K-8 Magnet School1510 North Manhattan Avenue, Tampa, FL, 33607 Homes for sale",Public district,K-8,769.0,14:1,33 reviews,Hillsborough
10,"9/10Above averageRoosevelt Elementary School3205 South Ferdinand Avenue, Tampa, FL, 33629 Homes for sale",Public district,PK-5,724.0,14:1,36 reviews,Hillsborough
11,"9/10Above averageWilliams Middle Magnet School5020 North 47th Street, Tampa, FL, 33610 Homes for sale",Public district,6-8,843.0,18:1,16 reviews,Hillsborough
12,"9/10Above averageNorthwest Elementary School16438 Hutchison Road, Tampa, FL, 33625 Homes for sale",Public district,PK-5,629.0,14:1,16 reviews,Hillsborough
13,"8/10Above averageFarnell Middle School13912 Nine Eagles Drive, Tampa, FL, 33626 Homes for sale",Public district,6-8,1233.0,20:1,31 reviews,Hillsborough
14,"8/10Above averageBrooks Debartolo Collegiate High School10948 North Central Avenue, Tampa, FL, 33612 Homes for sale",Public charter,9-12,604.0,18:1,39 reviews,Hillsborough
15,"8/10Above averageAlexander Elementary School5602 North Lois Avenue, Tampa, FL, 33614 Homes for sale",Public district,PK-5,585.0,13:1,6 reviews,Hillsborough
16,"8/10Above averageMabry Elementary School4201 W Estrella St, Tampa, FL, 33629 Homes for sale",Public district,PK-5,809.0,14:1,8 reviews,Hillsborough
17,"8/10Above averageMitchell Elementary School205 South Bungalow Park Avenue, Tampa, FL, 33609 Homes for sale",Public district,PK-5,747.0,14:1,17 reviews,Hillsborough
18,"8/10Above averageClark Elementary School19002 Wood Sage Drive, Tampa, FL, 33647 Homes for sale",Public district,PK-5,919.0,13:1,18 reviews,Hillsborough
19,"8/10Above averageRampello K-8 Magnet School802 East Washington Street, Tampa, FL, 33602 Homes for sale",Public district,K-8,766.0,15:1,9 reviews,Hillsborough
20,"8/10Above averageWestchase Elementary School9517 West Linebaugh Avenue, Tampa, FL, 33626 Homes for sale",Public district,PK-5,978.0,14:1,35 reviews,Hillsborough
21,"8/10Above averageHillsborough Academy Of Math And Science9659 West Waters Avenue, Tampa, FL, 33635 Homes for sale",Public charter,K-8,774.0,19:1,21 reviews,Hillsborough
22,"7/10Above averageMuller Elementary Magnet School13615 North 22nd Street, Tampa, FL, 33613 Homes for sale",Public district,K-5,391.0,12:1,14 reviews,Hillsborough
23,"7/10Above averageTrinity School For Children2402 West Osborne Avenue, Tampa, FL, 33603 Homes for sale",Public charter,K-8,844.0,19:1,20 reviews,Hillsborough
24,"7/10Above averageHunter's Green Elementary School9202 Highland Oak Drive, Tampa, FL, 33647 Homes for sale",Public district,PK-5,762.0,13:1,45 reviews,Hillsborough
0,"9/10Above averageTaos Academy110 Paseo Del Canon West, Taos, NM, 87571 Homes for sale",Public charter,5-12,209.0,11:1,No reviews yet,Taos Academy
1,"8/10Above averageTaos Municipal Charter School1303 Paseo Del Cañon East, Taos, NM, 87571 Homes for sale",Public charter,K-8,213.0,15:1,2 reviews,Taos Municipal Schools
2,"8/10Above averageTaos Integrated School Of Arts123 Manzanares Street, Taos, NM, 87571 Homes for sale",Public charter,K-8,153.0,13:1,No reviews yet,Taos Integrated School Of The Arts
3,"5/10AverageTaos High School134 Cervantes Street, Taos, NM, 87571 Homes for sale",Public district,9-12,803.0,18:1,1 review,Taos Municipal Schools
4,"5/10AverageTaos Middle School235 Paseo Del Cañon East, Taos, NM, 87571 Homes for sale",Public district,6-8,477.0,16:1,3 reviews,Taos Municipal Schools
5,"4/10Below averageEnos Garcia Elementary School305 Don Fernando Street, Taos, NM, 87571 Homes for sale",Public district,PK-5,516.0,10:1,2 reviews,Taos Municipal Schools
6,"2/10Below averageVista Grande High School213 Paseo Del Cañon East, Taos, NM, 87571 Homes for sale",Public charter,9-12,91.0,11:1,No reviews yet,Taos Municipal Schools
7,"Currently unratedYaxche School4100 Ndcbu, Taos, NM, 87571 Homes for sale",Private,1-9,,,No reviews yet,
8,"Currently unratedChrysalis Alternative School522 Evergreen Lane, Taos, NM, 87571 Homes for sale",Public district,7-12,8.0,4:1,1 review,Taos Municipal Schools
9,"Currently unratedTaos Cyber Magnet310 Camino De La Placita, Taos, NM, 87571 Homes for sale",Public district,9-12,17.0,22:1,No reviews yet,Taos Municipal Schools
10,"Currently unratedLeaping Lizards Pre-SchoolPo Box 2839, Taos, NM, 87571 Homes for sale",Private,PK,,,No reviews yet,
11,"Currently unratedLos Angelitos Pre-School1030 Salazar Rd, Taos, NM, 87571 Homes for sale",Private,PK,,,No reviews yet,
12,"Currently unratedNoah's Ark Child Care CenterPo Box 6007, Taos, NM, 87571 Homes for sale",Private,PK,,,No reviews yet,
13,"Currently unratedLittle Bug Child Care Center1221 Gusdorf Road, Taos, NM, 87571 Homes for sale",Private,PK-K,,,3 reviews,
14,"Currently unratedMR Duffys Kids Play Space312 Randall Lane, Taos, NM, 87571 Homes for sale",Private,PK,,,No reviews yet,
15,"Currently unratedNasse Day Care419 Kit Carson Rd, Taos, NM, 87571 Homes for sale",Private,PK,,,No reviews yet,
16,"Currently unratedSped Discipline235 Paseo Del Canon, Taos, NM, 87571 Homes for sale",Public district,1-12,,,No reviews yet,Taos Municipal Schools
17,"Currently unratedTaos Family Development Center134 Cervantes Street, Taos, NM, 87571 Homes for sale",Private,PK,,,No reviews yet,
18,"Currently unratedSeeds Of Hope Mont School215 Paseo Del Pueblo Norte, Taos, NM, 87571 Homes for sale",Private,PK,,,No reviews yet,
19,"Currently unratedNoahs Ark Pre-S1329 Paseo Del Pueblo Sur, Taos, NM, 87571 Homes for sale",Private,PK,,,No reviews yet,
20,"Currently unratedTaos International School118 Este Es Road, Taos, NM, 87571 Homes for sale",Public charter,K-8,205.0,15:1,No reviews yet,Taos International School
21,"Currently unratedTaos Day SchoolP.O. Box 1850, Taos, NM, 87571 Homes for sale",Public district,K-7,154.0,,No reviews yet,Taos Day School
22,"Currently unratedTaos Christian Academy814 Witt Rd, Taos, NM, 87571 Homes for sale",Private,K-11,62.0,,1 review,
0,"7/10Above averageTarver Elementary School7949 Stonehollow, Temple, TX, 76502 Homes for sale",Public district,K-5,587.0,16:1,9 reviews,Belton Independent School District
1,"7/10Above averageJoe M Pirtle Elementary School714 South Pea Ridge Road, Temple, TX, 76502 Homes for sale",Public district,K-5,762.0,17:1,11 reviews,Belton Independent School District
2,"6/10AverageNorth Belton Middle School7907 Prairie View Road, Temple, TX, 76502 Homes for sale",Public district,6-8,959.0,17:1,3 reviews,Belton Independent School District
3,"6/10AverageJefferson Elementary School2616 North 3rd Street, Temple, TX, 76501 Homes for sale",Public district,K-5,578.0,18:1,12 reviews,Temple Independent School District
4,"5/10AverageLake Belton Middle School8818 Tarver Drive, Temple, TX, 76502 Homes for sale",Public district,6-8,840.0,15:1,5 reviews,Belton Independent School District
5,"5/10AverageWestern Hills Elementary School600 Arapaho Drive, Temple, TX, 76504 Homes for sale",Public district,K-5,403.0,15:1,8 reviews,Temple Independent School District
6,"5/10AverageRaye-Allen Elementary School5015 South 5th Street, Temple, TX, 76502 Homes for sale",Public district,K-5,469.0,19:1,13 reviews,Temple Independent School District
7,"5/10AverageKennedy-Powell Elementary School3707 West Nugent Avenue, Temple, TX, 76504 Homes for sale",Public district,K-5,499.0,17:1,12 reviews,Temple Independent School District
8,"5/10AverageHector P Garcia Elementary School2525 Lavendusky Drive, Temple, TX, 76501 Homes for sale",Public district,K-5,426.0,15:1,3 reviews,Temple Independent School District
9,"5/10AverageHigh Point Elementary1635 Starlight Drive, Temple, TX, 76502 Homes for sale",Public district,K-5,716.0,16:1,4 reviews,Belton Independent School District
10,"4/10Below averageBonham Middle School4600 Midway Drive, Temple, TX, 76502 Homes for sale",Public district,6-8,576.0,14:1,8 reviews,Temple Independent School District
11,"4/10Below averageCater Elementary School4111 Lark Trail, Temple, TX, 76502 Homes for sale",Public district,K-5,334.0,18:1,3 reviews,Temple Independent School District
12,"4/10Below averageTemple High School415 North 31st Street, Temple, TX, 76504 Homes for sale",Public district,9-12,2145.0,15:1,16 reviews,Temple Independent School District
13,"3/10Below averageLamar Middle School2120 North 1st Street, Temple, TX, 76501 Homes for sale",Public district,6-8,610.0,15:1,9 reviews,Temple Independent School District
14,"3/10Below averageScott Elementary School2301 West Avenue P, Temple, TX, 76504 Homes for sale",Public district,K-5,483.0,17:1,5 reviews,Temple Independent School District
15,"3/10Below averageThornton Elementary School2900 Pin Oak Drive, Temple, TX, 76502 Homes for sale",Public district,K-5,734.0,18:1,11 reviews,Temple Independent School District
16,"3/10Below averageTravis Science Academy1551 South 25th Street, Temple, TX, 76504 Homes for sale",Public district,6-8,691.0,12:1,9 reviews,Temple Independent School District
17,"1/10Below averageFred W Edwards Academy Aec1414 West Barton Avenue, Temple, TX, 76504 Homes for sale",Public district,9-12,128.0,17:1,1 review,Temple Independent School District
18,"Currently unratedCentral Texas Christian School4141 West Fm 93, Temple, TX, 76502 Homes for sale",Private,PK-12,492.0,,2 reviews,
19,"Currently unratedChrist Church School317 North 1st Street, Temple, TX, 76501 Homes for sale",Private,PK-8,86.0,,8 reviews,
20,"Currently unratedThe Montessori School1302 South 27th Street, Temple, TX, 76504 Homes for sale",Private,PK-6,62.0,,18 reviews,
21,"Currently unratedSt Francis Episcopal School5001 Hickory Road, Temple, TX, 76502 Homes for sale",Private,PK-K,42.0,,2 reviews,
22,"Currently unratedScott & White Hospital2401 South 31st Street, Temple, TX, 76508 Homes for sale",Public district,PK-12,2.0,4:1,No reviews yet,Temple Independent School District
23,"Currently unratedSt. Mary's School1004 S Seventh St, Temple, TX, 76504 Homes for sale",Private,2-11,,,2 reviews,
24,"Currently unratedCentral Texas Christ School3205 Oakview Dr, Temple, TX, 76502 Homes for sale",Private,PK-12,,,No reviews yet,
0,"10/10Top ratedGenoa Central Elementary School12018 Arkansas 196, Texarkana, AR, 71854 Homes for sale",Public district,K-4,405.0,15:1,2 reviews,Genoa Central School District
1,"7/10Above averageGary E. Cobb Middle School11986 Arkansas 196, Texarkana, AR, 71854 Homes for sale",Public district,5-8,378.0,14:1,1 review,Genoa Central School District
2,"6/10AverageCollege Hill Elementary School200 Artesian Street, Texarkana, AR, 71854 Homes for sale",Public district,PK-4,523.0,15:1,No reviews yet,Texarkana School District
3,"6/10AverageFairview Elementary School801 East 16th Street, Texarkana, AR, 71854 Homes for sale",Public district,PK-4,296.0,16:1,No reviews yet,Texarkana School District
4,"6/10AverageEdward D. Trice Elementary School4505 Pinson Drive, Texarkana, AR, 71854 Homes for sale",Public district,K-4,558.0,17:1,7 reviews,Texarkana School District
5,"5/10AverageArkansas High School1500 Jefferson Avenue, Texarkana, AR, 71854 Homes for sale",Public district,9-12,1009.0,14:1,6 reviews,Texarkana School District
6,"5/10AverageVera Kilpatrick Elementary School1002 East 35th Street, Texarkana, AR, 71854 Homes for sale",Public district,PK-4,432.0,13:1,4 reviews,Texarkana School District
7,"5/10AverageGenoa Central High School12472 Arkansas 196, Texarkana, AR, 71854 Homes for sale",Public district,9-12,373.0,15:1,2 reviews,Genoa Central School District
8,"4/10Below averageNorth Heights Jr. High School2118 East 35th Street, Texarkana, AR, 71854 Homes for sale",Public district,7-8,549.0,13:1,5 reviews,Texarkana School District
9,"3/10Below averageCollege Hill Middle School1600 Forest Avenue, Texarkana, AR, 71854 Homes for sale",Public district,5-6,674.0,14:1,4 reviews,Texarkana School District
10,"2/10Below averageUnion Elementary School1701 Line Ferry Road, Texarkana, AR, 71854 Homes for sale",Public district,PK-4,280.0,22:1,1 review,Texarkana School District
11,"2/10Below averageWashington Academy1900 Marietta Street, Texarkana, AR, 71854 Homes for sale",Public charter,7-12,99.0,10:1,No reviews yet,Texarkana School District
12,"Currently unratedTrinity Christian School3107 Trinity Boulevard, Texarkana, AR, 71854 Homes for sale",Private,PK-12,315.0,,13 reviews,
13,"Currently unratedBeech Street Pre-School601 Beech Street, Texarkana, AR, 71854 Homes for sale",Private,PK,,,1 review,
14,"Currently unratedTexarkana Area Vocational Center3512 Grand Avenue, Texarkana, AR, 71854 Homes for sale",Public district,9-12,,66:1,No reviews yet,Texarkana School District
15,"Currently unratedLittle Friends Kindergarten2101 E 50th Street, Texarkana, AR, 71854 Homes for sale",Private,PK-K,,,No reviews yet,
16,"Currently unratedTots Landing1513 Ash Street, Texarkana, AR, 71854 Homes for sale",Private,PK-K,,,1 review,
17,"Currently unratedPrecious Ones Christian Learning Center1602 Garland Ave, Texarkana, AR, 71854 Homes for sale",Private,PK,,,No reviews yet,
18,"Currently unratedStuckey In Home Child Care1872 Lonoke Ave, Texarkana, AR, 71854 Homes for sale",Private,PK,,,No reviews yet,
19,"Currently unratedMiller Co Head Start Center I1900 Marietta Street, Texarkana, AR, 71854 Homes for sale",Private,PK,,,No reviews yet,
20,"Currently unratedMiller County Head Start200 Artesian Street, Texarkana, AR, 71854 Homes for sale",Private,PK,,,1 review,
21,"Currently unratedKaren Haworth's Day Care2005 S Stateline, Texarkana, AR, 71854 Homes for sale",Private,PK,,,No reviews yet,
22,"Currently unratedKid's Castle Day Care Center2400 Grand Avenue, Texarkana, AR, 71854 Homes for sale",Private,PK,,,No reviews yet,
23,"Currently unratedSunshine & Friends Christian DC2408 E 48th St, Texarkana, AR, 71854 Homes for sale",Private,PK,,,No reviews yet,
24,"Currently unratedStuckeys Child Care Center2602 E 19th St, Texarkana, AR, 71854 Homes for sale",Private,PK,,,No reviews yet,
0,"10/10Top ratedBayou Community Academy Charter School800 East 7th Street, Thibodaux, LA, 70301 Homes for sale",Public charter,PK-8,485.0,19:1,1 review,Lafourche Parish School District
1,"10/10Top ratedSixth Ward Middle School1865 Choctaw Road, Thibodaux, LA, 70301 Homes for sale",Public district,6-8,246.0,12:1,2 reviews,Lafourche Parish School District
2,"9/10Above averageSt. Charles Elementary School1690 Louisiana 1, Thibodaux, LA, 70301 Homes for sale",Public district,PK-5,196.0,13:1,2 reviews,Lafourche Parish School District
3,"8/10Above averageChackbay Elementary School101 School Lane, Thibodaux, LA, 70301 Homes for sale",Public district,PK-5,369.0,14:1,4 reviews,Lafourche Parish School District
4,"8/10Above averageThibodaux High School1355 Tiger Drive, Thibodaux, LA, 70301 Homes for sale",Public district,8-12,1435.0,16:1,5 reviews,Lafourche Parish School District
5,"6/10AverageBayou Boeuf Elementary School4138 Louisiana 307, Thibodaux, LA, 70301 Homes for sale",Public district,PK-5,290.0,15:1,4 reviews,Lafourche Parish School District
6,"6/10AverageEast Thibodaux Middle School802 East 7th Street, Thibodaux, LA, 70301 Homes for sale",Public district,6-8,302.0,11:1,2 reviews,Lafourche Parish School District
7,"5/10AverageW.S. Lafargue Elementary School700 Plantation Road, Thibodaux, LA, 70301 Homes for sale",Public district,2-3,453.0,12:1,3 reviews,Lafourche Parish School District
8,"5/10AverageWest Thibodaux Middle School1111 East 12th Street, Thibodaux, LA, 70301 Homes for sale",Public district,6-8,402.0,13:1,4 reviews,Lafourche Parish School District
9,"4/10Below averageVirtual Academy Of Lafourche639 Harrison Street, Thibodaux, LA, 70301 Homes for sale",Public charter,K-12,452.0,15:1,No reviews yet,Lafourche Parish School District
10,"4/10Below averageC.M. Washington Elementary200 Iris Street, Thibodaux, LA, 70301 Homes for sale",Public district,4-5,469.0,13:1,2 reviews,Lafourche Parish School District
11,"2/10Below averageThe Max Charter School100 Nsu- Afton Drive, Thibodaux, LA, 70301 Homes for sale",Public charter,1-8,120.0,11:1,No reviews yet,The Max Charter School
12,"Currently unratedBuilding Blocks Development Child Care1001 East 12th Street, Thibodaux, LA, 70301 Homes for sale",Private,PK,,,No reviews yet,
13,"Currently unratedLittle Folks Day Care1016 Louisiana 20, Thibodaux, LA, 70301 Homes for sale",Private,PK,,,No reviews yet,
14,"Currently unratedMarydale Head Start Center 1102 West Park Avenue, Thibodaux, LA, 70301 Homes for sale",Private,PK,,,No reviews yet,
15,"Currently unratedColor My World Day Care Center1027 People Street, Thibodaux, LA, 70301 Homes for sale",Private,PK,,,1 review,
16,"Currently unratedMy Memories Day Care Center115 Spruce St, Thibodaux, LA, 70301 Homes for sale",Private,PK,,,No reviews yet,
17,"Currently unratedStepping Stones Development Center125 Choctaw Road, Thibodaux, LA, 70301 Homes for sale",Private,PK,,,No reviews yet,
18,"Currently unratedBright Beginnings Day Care146 Richland Drive, Thibodaux, LA, 70301 Homes for sale",Private,PK,,,No reviews yet,
19,"Currently unratedGod's Promises Pre-School150 Louisiana 3185, Thibodaux, LA, 70301 Homes for sale",Private,PK,,,No reviews yet,
20,"Currently unratedLots-O-Tots Day Care Center174 Saint Joseph Street, Thibodaux, LA, 70301 Homes for sale",Private,PK,,,No reviews yet,
